age,educ,earnings,marry
27,2,720,0
25,3,400,0
55,3,1346.15,1
34,4,800,1
53,5,950,1
64,1,685.88,1
59,3,884,1
58,3,1750,1
56,2,546.40002,1
36,3,1634.61,1
45,2,1600,1
45,4,1153,0
34,5,1153,1
26,2,2500,1
67,4,1923,1
42,5,1730.76,1
40,4,1286.8,1
37,1,576.91998,1
58,2,1000,1
49,2,700,1
24,3,400,0
53,3,961,1
59,2,230.75999,0
56,4,961.53003,1
58,2,1114,1
46,2,846.15002,1
78,1,280,1
46,2,1538,1
41,4,2576,1
43,3,1200,1
32,3,775,1
53,2,1008,1
38,2,346.14999,1
21,2,276.92001,0
55,2,288.45999,1
44,2,678.83002,1
39,2,288.45999,1
60,2,1250,1
46,3,1120,0
24,3,240,0
46,2,1440,1
41,3,900,1
47,3,2396,0
56,5,1730.76,0
29,4,190,1
25,4,1346.15,1
42,2,2346,1
36,2,2038.46,0
43,3,2884,1
26,3,240,1
57,2,704,1
32,2,437.5,0
61,3,1753,1
24,3,1068.4,0
50,2,1130,0
26,2,648,0
62,4,1100,0
42,2,600,0
57,4,2884.6101,1
46,2,507.69,1
24,4,1328,1
32,2,720,0
32,2,720,0
23,2,1384.61,1
62,5,1500,1
21,2,1314.6,0
37,2,1222.8,1
64,1,1120,1
49,2,1250,1
64,1,800,1
32,3,1214.28,1
25,3,646.15002,0
23,2,450,0
57,2,399,1
49,3,1600,0
37,3,600,0
35,4,1115.3,1
64,1,300,0
28,1,800,0
50,3,980,0
34,1,471,1
63,2,740,1
26,1,852,0
33,1,360,0
47,4,2826.9199,1
33,3,800,1
30,3,600,1
42,2,1200,1
38,2,461.53,1
60,3,461.53,0
59,4,360,0
24,3,340,0
27,3,760,0
28,3,450,1
46,3,1200,0
55,1,440,0
43,2,560,1
49,2,880,0
50,1,2115,1
52,3,1153,0
54,1,320,1
64,4,1846.15,1
34,3,807,0
30,4,1532,1
40,2,750,1
30,1,600,0
51,3,1000,0
46,2,920,1
36,4,1692.3,1
31,5,1532,1
24,4,351.5,0
48,4,1596,1
55,1,170,0
37,3,1711.53,0
54,4,1500,1
48,3,1094.4,1
42,2,865,1
57,2,1200,1
22,3,300,0
64,4,1384.61,1
50,2,1057,0
50,4,1019.23,1
38,3,400,1
64,4,800,0
44,3,2530,1
40,3,816,1
35,3,560,1
51,3,1000,1
50,1,414,1
41,2,480,1
54,1,600,1
22,2,480,0
66,3,160,0
27,5,500,1
56,3,1226,0
42,2,640,1
53,4,2200,1
56,4,1737,1
35,2,634.60999,1
57,4,1737,1
25,4,901,0
30,3,961.53003,1
66,4,140,0
71,5,200,1
45,2,480,0
60,2,1100,1
48,5,1527.77,1
43,4,1442.3,1
42,2,1400,1
59,4,2884.6101,1
28,2,600,1
27,5,1440,0
68,4,1576,1
34,3,750,1
36,4,1288.46,1
